Site  Number,Tower  Asset  Number,Project  Number,Project  Name,Customer  Equipment  Number,Customer  Equipment  Name,Portfolio  Country,Status,Customer  Equipment  Type,Customer  Equipment  Status,Customer  Name,Ground  Equipment  Type,Ground  Technology  Type,Ground  Equipment  Location,Ground  Equipment  Make,Ground  Equipment  Model,Ground  Lenght,Ground  Widht,Ground  Hight,antenna  instalation  status,antenna  equipment  type,antenna  mount  type,antenna  make,antenna  model,antenna  height,antenna  width,antenna  depth,azimuth,feeder/Line  qty,feeder/Line  type
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Remaining,Dish-HP,Behind  Antenna,Andrew,THP03-370S,389.0,389.0,220.0,0.0,0,Coax
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Remaining,Dish-HP,Behind  Antenna,Andrew,THP03-370S,389.0,389.0,220.0,0.0,0,Coax
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,RRU,Behind  Antenna,Ericsson,2212,420.0,342.0,149.0,0.0,0,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,RRU,Behind  Antenna,Ericsson,2212,420.0,342.0,149.0,0.0,0,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,RRU,Behind  Antenna,Ericsson,2212,420.0,342.0,149.0,0.0,0,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,RRU,Behind  Antenna,Ericsson,4415,420.0,342.0,160.0,0.0,0,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,RRU,Behind  Antenna,Ericsson,4415,420.0,342.0,160.0,0.0,0,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,RRU,Behind  Antenna,Ericsson,4415,420.0,342.0,160.0,0.0,0,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,Panel-Quadband,Stand-Off,Commscope,RRV4-65B-R6,1828.0,498.0,197.0,2.731032,2,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,Panel-Quadband,Stand-Off,Commscope,RRV4-65B-R6,1828.0,498.0,197.0,2.731032,2,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,Panel-Quadband,Stand-Off,Commscope,RRV4-65B-R6,1828.0,498.0,197.0,2.731032,2,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,RRU,Behind  Antenna,Ericsson,4443,380.0,335.0,289.0,0.0,0,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,RRU,Behind  Antenna,Ericsson,4443,380.0,335.0,289.0,0.0,0,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Transmission,Microwave,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,RRU,Behind  Antenna,Ericsson,4443,380.0,335.0,289.0,0.0,0,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G/5G,Outdoor,Huawei,MTS9302A-HA16A3,650.0,650.0,1.5,Proposed,Panel-Single  Band,Behind  Antenna,Huawei,AAU5613,795.0,395.0,220.0,0.0,2,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G/5G,Outdoor,Huawei,MTS9302A-HA16A3,650.0,650.0,1.5,Proposed,Panel-Single  Band,Behind  Antenna,Huawei,AAU5613,795.0,395.0,220.0,0.0,2,Fiber  Cable
350009,350009-WT1,  ,  ,  ,CE-350009-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G/5G,Outdoor,Huawei,MTS9302A-HA16A3,650.0,650.0,1.5,Proposed,Panel-Single  Band,Behind  Antenna,Huawei,AAU5613,795.0,395.0,220.0,0.0,2,Fiber  Cable
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,Panel-Triband,Stand-Off,COMMSCOPE,CVV65BSX-M,1970.0,301.0,181.0,1.77891,2,Coax
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,Panel-Triband,Stand-Off,COMMSCOPE,CVV65BSX-M,1970.0,301.0,181.0,1.77891,2,Coax
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,Panel-Triband,Stand-Off,COMMSCOPE,CVV65BSX-M,1970.0,301.0,181.0,1.77891,2,Coax
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Removing,Panel-Dualband,Dual  Antenna,Kathrein,742266,2516.0,262.0,139.0,1.977576,2,Coax
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Removing,Panel-Dualband,Dual  Antenna,Kathrein,742266,2516.0,262.0,139.0,1.977576,2,Coax
